infinitive	current	decision	final_gloss	agree_count	citation	confidence	sense_note
abajar	lower	keep	lower	3	everyday (3/3); https://es.wiktionary.org/wiki/abajar mover de posicion mas elevada a menos	high	
abalar	move	replace	hurl	2	https://es.wiktionary.org/wiki/abalar : arrojar lanzar (throw hurl); current move too vague	medium	morph kept move; rae+wikt cite hurl
abalizar	mark	keep	mark	3	https://es.wiktionary.org/wiki/abalizar : senalar con balizas (mark with buoys)	high	nautical sense
aballar	drive	keep	drive	3	https://es.wiktionary.org/wiki/aballar : llevar o conducir el ganado (drive cattle)	high	
abanar	fan	keep	fan	3	everyday (3/3); https://es.wiktionary.org/wiki/abanar abanicar cribar	high	
abanderar	champion	keep	champion	2	https://dle.rae.es/abanderar : ponerse al frente de una causa (champion lead a cause)	medium	rae checker preferred nautical register-under-flag sense
abetunar	polish	keep	polish	3	https://es.wiktionary.org/wiki/abetunar : cubrir con betun (coat polish)	high	
abigarrar	variegate	keep	variegate	3	https://es.wiktionary.org/wiki/abigarrar : dar varios colores mal combinados (variegate)	high	make gaudy synonym
abocar	pour	keep	pour	3	https://es.wiktionary.org/wiki/abocar : volcar el contenido de un recipiente en otro (pour decant)	high	
abocinar	flare	keep	flare	3	https://es.wiktionary.org/wiki/abocinar : dar forma de bocina (flare tube mouth)	high	
abordar	tackle	replace	board	2	https://es.wiktionary.org/wiki/abordar : tocar una embarcacion con otra (board a vessel primary)	high	morph+rae cite board primary; wikt kept tackle figurative
aborregar	curdle	replace	become fleecy	3	https://dle.rae.es/aborregarse : cielo cubrirse de nubes a modo de vellones (sky becoming fleecy)	high	current curdle wrong; sheep/borrego cloud sense
abotargar	bloat	keep	bloat	3	https://dle.rae.es/abotargarse : hincharse abotagarse (become bloated)	high	
abovedar	vault	keep	vault	3	https://es.wiktionary.org/wiki/abovedar : cubrir con boveda (cover with vault)	high	
abrevar	water	keep	water	3	https://es.wiktionary.org/wiki/abrevar : proporcionar agua para beber al ganado (water animals)	high	water animals
acendrar	purify	keep	purify	3	https://es.wiktionary.org/wiki/acendrar : depurar purificar (purify refine metals)	high	
desamortizar	disentail	keep	disentail	3	https://www.rae.es/diccionario-estudiante/desamortizar : privar de bienes de manos muertas y ponerlos en venta	high
desapasionar	dispassion	replace	lose passion	3	https://es.wiktionary.org/wiki/desapasionar : remove passion / become dispassionate (pronominal)	high	all 3 replace; current noun gloss awkward
desarrendar	unrent	replace	end lease	2	https://es.wiktionary.org/wiki/desarrendar : dejar una heredad que se tenia arrendada	medium	rae cites remove-reins sense; wikt+morph favor end-lease
desarrimar	move away	keep	move away	3	https://es.wiktionary.org/wiki/desarrimar : separar quitar lo que esta arrimado	high
desbarrancar	push off cliff	keep	push off cliff	3	https://es.wiktionary.org/wiki/desbarrancar : arrojar barranca abajo	high
descabalar	leave incomplete	keep	leave incomplete	3	https://dle.rae.es/descabalar : quitar parte de un conjunto cabal	high
descabellar	kill bull	keep	kill bull	3	https://es.wiktionary.org/wiki/descabellar : matar al toro de una estocada	high	bullfighting term
descacharrar	smash	keep	smash	3	https://es.wiktionary.org/wiki/descacharrar : romper danar un cacharro	high
descambiar	exchange back	keep	exchange back	3	https://es.wiktionary.org/wiki/descambiar : deshacer un cambio devolver lo intercambiado	high
descaperuzar	uncover	replace	remove hood	3	https://dle.rae.es/descaperuzar : quitar de la cabeza la caperuza	high	rae+morph replace to precise gloss; wikt synonymous
descasar	annul marriage	keep	annul marriage	3	https://es.wiktionary.org/wiki/descasar : anular el matrimonio	high
descerebrar	decerebrate	keep	decerebrate	3	https://es.wiktionary.org/wiki/descerebrar : extirparle el cerebro a un animal	high
descompasar	throw off	keep	throw off	2	https://es.wiktionary.org/wiki/descompasar : des- + compas = lose measure/rhythm	medium	rae prefers lose composure; wikt+morph keep
descuajar	uproot	keep	uproot	3	https://dle.rae.es/descuajar : arrancar de raiz o de cuajo plantas	high
descuajeringar	break apart	keep	break apart	3	https://es.wiktionary.org/wiki/descuajeringar : desarmar algo en las partes que lo constituyen	high
desembarrar	clean mud	keep	clean mud	3	https://dle.rae.es/desembarrar : limpiar quitar el barro	high
desembrujar	disenchant	keep	disenchant	3	https://es.wiktionary.org/wiki/desembrujar : quitarle a alguien un hechizo	high
desempalmar	disconnect	keep	disconnect	3	https://es.wiktionary.org/wiki/desempalmar (des-+empalmar splice/connect reversed)	high
desempapelar	unpaper	replace	strip wallpaper	3	https://es.wiktionary.org/wiki/desempapelar (des-+empapelar = remove wallpaper)	high	current unpaper too literal
desempedrar	unpave	keep	unpave	3	https://es.wiktionary.org/wiki/desempedrar (arrancar las piedras de un empedrado)	high
desempotrar	unbuild	replace	remove built-in	2	https://es.wiktionary.org/wiki/desempotrar (extraer una cosa empotrada)	high	wikt+morph replace; rae cites same built-in sense
desencajonar	unbox	keep	unbox	3	https://es.wiktionary.org/wiki/desencajonar (sacar lo del interior de un cajon)	high
desencapotar	uncover	replace	clear up	2	https://es.wiktionary.org/wiki/desencapotar (el cielo despejarse/aclararse)	medium	weather/sky sense per chunk note; rae preferred remove-cloak
desencasquillar	unjam	keep	unjam	3	https://es.thefreedictionary.com/desencasquillar (clear jammed cartridge in firearm)	high
desenclavar	dislodge	keep	dislodge	3	https://es.wiktionary.org/wiki/desenclavar (sacar con violencia del sitio)	high
desencorvar	straighten	keep	straighten	3	https://es.wiktionary.org/wiki/desencorvar (poner recto lo que estaba curvo)	high
desenfadar	calm	keep	calm	3	https://es.wiktionary.org/wiki/desenfadar (quitar el enfado)	high
desenfurruñar	cheer up	keep	cheer up	3	https://es.wiktionary.org/wiki/desenfurru%C3%B1ar (reverse of enfurruñarse to sulk)	high
desenladrillar	remove bricks	keep	remove bricks	3	https://es.wiktionary.org/wiki/desenladrillar (des-+enladrillar brick/tile reversed)	high
desentablillar	unsplint	keep	unsplint	3	https://es.wiktionary.org/wiki/desentablillar (des-+entablillar splint a limb reversed)	high
desentoldar	remove awning	keep	remove awning	3	https://es.wiktionary.org/wiki/desentoldar (des-+toldo awning reversed)	high
desertizar	desertify	keep	desertify	3	https://es.wiktionary.org/wiki/desertizar (convertir en desierto)	high
desfasar	mismatch	replace	throw out of phase	3	https://es.wiktionary.org/wiki/desfasar (hacer variar la fase de una senal)	high	out of phase/sync sense
desflecar	fray	keep	fray	3	https://dle.rae.es/desflecar : sacar flecos destejiendo las orillas de una tela = fray	high
desfondar	break bottom	keep	break bottom	3	https://es.wiktionary.org/wiki/desfondar : quitar o romper el fondo a un vaso o caja	high	wikt phrased it "knock the bottom out" = same sense
desforrar	unwrap	replace	remove lining	3	https://es.thefreedictionary.com/desforrar : quitar el forro a una cosa	high	all 3 agree current "unwrap" wrong
desguarnecer	strip	keep	strip	3	https://es.wiktionary.org/wiki/desguarnecer : quitar guarniciones o adornos	high
desimantar	demagnetize	keep	demagnetize	3	https://es.wiktionary.org/wiki/desimantar : reducir la fuerza magnetica de un iman	high
desinsectar	fumigate	keep	fumigate	3	https://es.wiktionary.org/wiki/desinsectar : suprimir la presencia de ciertos insectos	high
deslavazar	wash out	keep	wash out	3	https://es.wiktionary.org/wiki/deslavazar : lavar algo de modo superficial	high
deslomar	break back	keep	break back	3	https://es.wiktionary.org/wiki/deslomar : quebrantar o romper los lomos	high
desmadejar	weaken	keep	weaken	3	https://es.wiktionary.org/wiki/desmadejar : causar flojedad en el cuerpo debilitar	high
desmadrar	wean	keep	wean	3	https://es.wiktionary.org/wiki/desmadrar : separar de la madre las crias del ganado	high
desmandar	disobey	replace	get out of control	3	https://dle.rae.es/desmandar : desmandarse descomedirse propasarse desordenarse	high	all 3 agree
desnortar	disorient	keep	disorient	3	https://www.rae.es/diccionario-estudiante/desnortarse : desorientarse o perder el norte	high
desojar	strain eyes	keep	strain eyes	3	https://dle.rae.es/desojar : desojarse esforzar la vista mirando o buscando algo	high
desorejar	cut ears	keep	cut ears	3	https://es.wiktionary.org/wiki/desorejar : des + oreja cortar las orejas	high
despanzurrar	gut	keep	gut	3	https://es.wiktionary.org/wiki/despanzurrar : romper la panza de una persona o animal	high
despechugar	bare chest	keep	bare chest	3	https://es.wiktionary.org/wiki/despechugar : despechugarse mostrar el pecho descubierto	high
despelotar	strip	keep	strip naked	3	https://www.rae.es/diccionario-estudiante/despelotarse : desnudarse (strip naked)	high	current "strip" synonymous with strip naked
despendolar	go wild	keep	go wild	3	https://dle.rae.es/despendolarse : behave without restraint	high
despistar	mislead	replace	throw off the track	3	https://es.wiktionary.org/wiki/despistar : hacer perder la pista (throw off the track)	high
desplanchar	wrinkle	keep	wrinkle	3	https://es.wiktionary.org/wiki/desplanchar : des+planchar un-iron wrinkle	high
despreocupar	relax	replace	stop worrying	3	https://es.wiktionary.org/wiki/despreocupar : despreocuparse = dejar de preocuparse (stop worrying)	high	reflexive
desriñonar	overwork	keep	overwork	3	https://es.wiktionary.org/wiki/desriñonar : causar fatiga extrema (overwork to exhaustion)	high	break one's back
desubicar	misplace	replace	disorient	2	https://es.wiktionary.org/wiki/desubicar : poner fuera de lugar (put out of place/disorient)	high	rae+morph=disorient, wikt=put out of place (misplace)
desusar	disuse	keep	disuse	3	everyday (3/3) : stop using / fall into disuse	high
desvencijar	break apart	keep	break apart	3	https://es.wiktionary.org/wiki/desvencijar : loosen disunite parts	high
desvergonzar	be brazen	keep	be brazen	3	https://dle.rae.es/desvergonzarse : become insolent shameless	high
desvitalizar	devitalize	keep	devitalize	3	everyday (3/3) : remove vitality / sap vitality	high
embazar	dye	replace	confuse	3	https://es.wiktionary.org/wiki/embazar : pasmar confundir (astound/confuse); dye is rare etym-2	medium	uncertain verb resolved to confuse/stun sense
embotijar	bottle	replace	store in jars	3	https://dle.rae.es/embotijar : echar y guardar algo en botijos (store in earthenware jugs)	high	botijo jug not bottle
empavonar	burnish	replace	blue steel	2	https://dle.rae.es/pavonar : dar pavón al hierro o acero (blue/coat steel)	medium	rae+wikt=blue steel; morph kept burnish as variant
empitonar	gore	keep	gore	3	https://es.wiktionary.org/wiki/empitonar : coger el toro con los pitones (gore with horns)	high
emplastecer	plaster	keep	plaster	3	https://es.wiktionary.org/wiki/emplastecer : eliminar irregularidades para pintarla (plaster/smooth)	high
encanar	jail	keep	jail	3	https://es.wiktionary.org/wiki/encanar : lunfardo encanar = encarcelar/jail	high	colloquial Cono Sur/Colombia
encanutar	roll	keep	roll	3	https://dle.rae.es/encanutar : poner algo en forma de canuto (tube/roll)	medium
engarabitar	climb	keep	climb	2	https://www.rae.es/drae2001/engarabitar : intr. trepar (climb); curl numb fingers secondary	high	morph favored curl up but 2/3 back climb
enguachinar	soak	keep	soak	3	https://dle.rae.es/enguachinar : enaguachar/llenar de agua (waterlog/soak)	high
enmudecer	silence	replace	fall silent	2	https://dle.rae.es/enmudecer : intr. quedar mudo o guardar silencio (fall silent)	high	usually intransitive; rae kept transitive silence
ennoviar	get engaged	replace	start dating	3	https://dle.rae.es/ennoviarse : echarse novio / entablar noviazgo = start dating not engaged	high	get a boyfriend/girlfriend = same sense
enquistar	encyst	keep	encyst	3	everyday (3/3) medical term en-+quiste	high
enrocar	castle	keep	castle	3	everyday (3/3) chess term	high
enronquecer	make hoarse	keep	make hoarse	3	everyday (3/3) en-+ronco	high
ensañar	rage	replace	be cruel	3	https://www.rae.es/dpd/ensañar : deleitarse en causar daño = be cruel	high	reflexive ensañarse; be cruel with the defenseless
enseñorear	take over	keep	take over	3	https://dle.rae.es/enseñorear : dominar algo / hacerse dueño = take over	high
ensoberbecer	make arrogant	keep	make arrogant	3	everyday (3/3) inchoative -ecer on soberbio	high
entallar	fit	keep	fit	3	https://dle.rae.es/entallar : ajustar la ropa al talle (fit garment); carve secondary	high	two senses: fit garment / carve
entarimar	floor	keep	floor	3	https://dle.rae.es/entarimar : cubrir el suelo con tablas o tarima (floor)	high
entelar	cover	keep	cover	3	https://dle.rae.es/entelar : cubrir con tela (cover with fabric)	high
entenebrecer	darken	keep	darken	3	https://dle.rae.es/entenebrecer : oscurecer/llenar de tinieblas (darken)	high
entoldar	awning	replace	cover with awning	3	https://es.wiktionary.org/wiki/entoldar : cubrir con toldos = cover with awnings	high
entrelucir	glimmer	replace	show through	2	https://dle.rae.es/entrelucir : divisarse entremedias de otra = show through partially	medium	morph dissented (glimmer/shine through); senses are near-adjacent
entubar	tube	replace	intubate	3	https://es.wiktionary.org/wiki/entubar : insert a tube (medical intubation)	high
erisipelar	infect	replace	cause erysipelas	3	https://es.wiktionary.org/wiki/erisipelar : producir erisipela	high	rare/technical, grounded
escachifollar	smash	keep	smash	3	https://www.rae.es/diccionario-estudiante/escachifollar : estropear = damage/ruin (coloq)	high	wikt said ruin = synonym of smash
escaquear	dodge	keep	dodge	3	https://es.wiktionary.org/wiki/escaquear : escaquearse = shirk/dodge a duty	high
esclerosar	harden	keep	harden	3	https://es.wiktionary.org/wiki/esclerosar : medical, harden (sclerose)	high
esclerotizar	harden	keep	harden	3	https://es.wiktionary.org/wiki/esclerotizar : harden via sclerotization	high
escorar	list	keep	list	3	https://es.wiktionary.org/wiki/escorar : ship list/heel to one side	high	nautical
escotar	lower neckline	keep	lower neckline	3	https://es.wiktionary.org/wiki/escotar : cut/trim a garment (neckline)	high
escriturar	deed	keep	deed	3	https://es.wiktionary.org/wiki/escriturar : hacer constar con escritura publica = execute by public deed	high	morph said notarize = synonym of deed
españolear	flaunt Spanishness	keep	flaunt Spanishness	3	https://es.wiktionary.org/wiki/españolear : excessively promote/boast of Spain	medium
espichar	die	keep	die	3	https://es.wiktionary.org/wiki/espichar : espicharla colloquial = die	medium	colloquial
espurrear	spray	keep	spray	3	https://es.wiktionary.org/wiki/espurrear : rociar con liquido expelido por la boca	high
esquejar	take cuttings	keep	take cuttings	3	https://es.wiktionary.org/wiki/esquejar : propagate plants from cuttings	high
estabular	stable	keep	stable	3	https://es.wiktionary.org/wiki/estabular : keep/raise livestock in stables	high
estatuir	decree	keep	decree	3	https://es.wiktionary.org/wiki/estatuir : determinar/ordenar cómo debe ejecutarse algo (decree/establish synonymous)	high	establish and decree are the same sense
estenografiar	stenograph	replace	take shorthand	3	https://es.wiktionary.org/wiki/estenografiar : escribir por medio de la estenografía (taquigrafiar)	high	3/3 replace to take shorthand
estirajar	stretch	keep	stretch	3	https://dle.rae.es/estirajar : estirar deformando algo	high
estocar	thrust	keep	thrust	3	https://www.rae.es/dhle/estocar : herir con la punta de espada o estoque	high
estomagar	annoy	keep	annoy	3	https://es.wiktionary.org/wiki/estomagar : fastidiar	high
estoquear	thrust	keep	thrust	3	https://dle.rae.es/estoquear : herir o matar al toro con el estoque	high
estraperlear	black-market	keep	black-market	3	https://es.wiktionary.org/wiki/estraperlear : comerciar en estraperlo (mercado negro)	high
estuchar	case	keep	case	3	https://dle.rae.es/estuchar : meter en estuche	high
exclaustrar	secularize	keep	secularize	3	https://dle.rae.es/exclaustrar : hacer salir a un religioso del claustro	high
expedientar	investigate	keep	investigate	3	https://dle.rae.es/expedientar : someter a expediente para enjuiciar su actuación	high
explicotear	explain at length	keep	explain at length	3	https://es.wiktionary.org/wiki/explicotear : coloquial frecuentativo de explicar	high
expugnar	storm	keep	storm	3	https://es.wiktionary.org/wiki/expugnar : tomar a fuerza de armas una plaza o fortaleza	high
extractar	abstract	keep	abstract	3	https://dle.rae.es/extractar : reducir a extracto resumir un escrito (abstract/summarize synonymous)	high	abstract and summarize are the same sense
extranjerizar	foreignize	keep	foreignize	3	https://dle.rae.es/extranjerizar : introducir costumbres o elementos extranjeros dar carácter extranjero	high	make foreign synonymous with foreignize; rare verb has RAE URL
extremar	maximize	keep	maximize	3	https://www.wordreference.com/es/en/translation.asp?spen=extremar : take to the extreme / maximize	high
faenar	fish	keep	fish	3	https://es.wiktionary.org/wiki/faenar : realizar las labores de la pesca en el mar	high
fajar	wrap	keep	wrap	3	https://dle.rae.es/fajar:rodear o envolver con faja una parte del cuerpo	high
faldear	skirt	keep	skirt	3	https://dle.rae.es/faldear:caminar por la falda de un monte	high
fanatizar	fanaticize	keep	fanaticize	3	https://dle.rae.es/fanatizar:volver fanatico a alguien	high
feriar	trade	keep	trade	3	https://dle.rae.es/feriar:vender comprar o permutar algo en la feria	high	trade/barter both valid
festonear	festoon	keep	festoon	3	https://dle.rae.es/festonear:adornar con feston	high
filiar	enroll	keep	enroll	3	https://dle.rae.es/filiar:tomar los datos personales o sentar en el registro militar	high
florear	adorn	keep	adorn	3	https://dle.rae.es/florear:adornar y guarnecer con flores	high	adorn/embellish both valid
fluidificar	fluidify	keep	fluidify	3	https://www.spanishdict.com/translate/fluidificar : make fluid	high
fluorar	fluoridate	keep	fluoridate	3	https://dle.rae.es/fluorar:anadir fluoruros al agua o dentifricos	high
foguear	fire	replace	season	3	https://es.wiktionary.org/wiki/foguear:acostumbrar a alguien a las penalidades de un trabajo	high	all 3 checkers agree season (inure), not fire
foliar	foliate	keep	foliate	3	https://dle.rae.es/foliar:numerar los folios de un libro o cuaderno	high
fraguar	forge	keep	forge	2	https://es.wiktionary.org/wiki/fraguar:modelar el metal en la fragua (primary listed sense)	medium	rae+morph keep forge; wikt prefers set/harden (cement)
fregotear	scrub	keep	scrub	3	https://dle.rae.es/fregotear:fregar deprisa y mal	high	scrub/scour both valid
gallardear	flaunt	keep	flaunt	3	https://dle.rae.es/gallardear:mostrar gallardia y donaire al hacer algo	high	flaunt/swagger both valid
gallear	strut	keep	strut	3	https://dle.rae.es/gallear:pretender sobresalir con presuncion o jactancia	high
gansear	clown	keep	clown	3	https://dle.rae.es/gansear:hacer o decir gansadas	high	clown/clown around both valid
garrapatear	scribble	keep	scribble	3	https://dle.rae.es/garrapatear : hacer garrapatos / garabatear (make scribbles)	high
garrapiñar	candy	keep	candy	3	https://www.rae.es/diccionario-estudiante/garrapi%C3%B1ar : banar fruto seco en almibar que forma grumos	high	candied nuts
gibar	annoy	keep	annoy	3	https://dle.rae.es/gibar : coloq. fastidiar molestar (primary; corcovar=hunch secondary)	high	hunch is secondary sense
gitanear	wheedle	keep	wheedle	3	https://dle.rae.es/gitanear : halagar con zalameria para conseguir lo que se desea	high
golfear	loaf	keep	loaf	3	https://dle.rae.es/golfear : vivir como un golfo (holgazanear callejear)	high
golosear	nibble	keep	nibble	3	https://dle.rae.es/golosear : andar comiendo golosinas (nibble sweets)	high
gorgoritear	trill	keep	trill	3	https://dle.rae.es/gorgoritear : hacer gorgoritos quiebros de la voz (trinar)	high
granar	seed	keep	seed	3	https://www.rae.es/diccionario-estudiante/granar : producir y desarrollar grano una planta	high
grillar	sprout	keep	sprout	3	https://dle.rae.es/grillarse : entallecer el trigo tuberculo (sprout shoots)	high
grisear	gray	keep	gray	3	https://dle.rae.es/grisear : ir tomando color gris	high
guarnicionar	garrison	keep	garrison	3	https://dle.rae.es/guarnicionar : poner guarnicion en una plaza fuerte	high
guarrear	mess up	replace	grunt	3	https://dle.rae.es/guarrear : gruñir dicho del jabali (primary RAE sense; mess up secondary)	high	all 3 checkers agree grunt is primary
guerrillear	wage guerrilla war	keep	wage guerrilla war	3	https://es.thefreedictionary.com/guerrillear : fight as guerrillas	high
guipar	see	keep	see	3	https://dle.rae.es/guipar : coloq. ver percibir descubrir (jergal)	high
gulusmear	snoop	keep	snoop	3	https://dle.rae.es/gulusmear : curiosear husmear (golosinear is sense 1)	high	also sniff cooking
hebraizar	hebraize	keep	hebraize	3	https://dle.rae.es/hebraizar : dar caracter hebraico / usar giros de la lengua hebrea	high
heñir	knead	keep	knead	3	https://es.wiktionary.org/wiki/heñir : knead dough with fists	high
himplar	snarl	keep	snarl	3	https://es.wiktionary.org/wiki/himplar : big-cat roar/snarl	high
hocicar	root	keep	root	3	https://es.wiktionary.org/wiki/hocicar : animals lift earth with the snout	high
hojaldrar	puff	keep	puff	3	https://es.wiktionary.org/wiki/hojaldrar : shape dough into puff pastry	high
hondear	sound	keep	sound	3	https://es.wiktionary.org/wiki/hondear : recognize the bottom with a sounding line	high
hostiar	wallop	keep	wallop	3	https://dle.rae.es/hostiar : hit or strike someone (vulgar, Spain)	high	wallop/whack both valid
hozar	root	keep	root	3	https://es.wiktionary.org/wiki/hozar : move earth with the snout (pigs)	high
humar	smoke	keep	smoke	3	https://dle.rae.es/humar : echar humo / emit smoke	high
huronear	pry	keep	pry	3	https://dle.rae.es/huronear : colloquial pry into others' affairs	high	pry/ferret both valid
interviuvar	interview	keep	interview	3	https://es.wiktionary.org/wiki/interviuvar : entrevistar / interview	high
loquear	act crazy	keep	act crazy	3	https://es.wiktionary.org/wiki/loquear : estar loco / hacer locuras	high
lucubrar	ponder	keep	ponder	3	https://es.wiktionary.org/wiki/lucubrar : elucubrar / work studiously and ponder	high
malcasar	mismarry	keep	mismarry	3	https://dle.rae.es/malcasar : marry badly / without conditions for happy marriage	high
malmeter	incite	keep	incite	3	https://www.rae.es/diccionario-estudiante/malmeter : inducir a hacer cosas malas / incite	high
maltraer	mistreat	keep	mistreat	3	https://es.wiktionary.org/wiki/maltraer : maltratar / mistreat	high
mancipar	enslave	keep	enslave	3	https://es.wiktionary.org/wiki/mancipar : subjugate / make a slave	high
manducar	eat	keep	eat	3	everyday (3/3)	high	colloquial comer
mantear	toss	keep	toss	3	dle.rae.es/mantear: levantar a alguien en una manta entre varios	high	toss in a blanket
maridar	marry	keep	marry	3	dle.rae.es/maridar: casarse o unirse en matrimonio	high
maternizar	humanize milk	keep	humanize milk	3	rae.es/diccionario-estudiante/maternizar: dotar a una leche de las propiedades de la materna	high	rare technical infant-formula sense, RAE-cited
matrimoniar	marry	keep	marry	3	dle.rae.es/matrimoniar: contraer matrimonio	high
mechar	lard	keep	lard	3	dle.rae.es/mechar: introducir mechas de tocino en la carne	high
mensualizar	monthly bill	replace	pay monthly	3	asale.org/damer/mensualizar: proceder al pago mensual de salarios	high	all 3 replace awkward current gloss
menudear	occur often	keep	occur often	3	dle.rae.es/menudear: suceder algo con frecuencia	high
mesar	tear hair	keep	tear hair	3	dle.rae.es/mesar: arrancar el cabello o la barba con las manos	high
metaforizar	metaphorize	keep	metaphorize	3	dle.rae.es/metaforizar: usar metaforas o alegorias	high
meteorizar	bloat	keep	bloat	3	dle.rae.es/meteorizar: causar meteorismo en el ganado	high
migar	crumble	keep	crumble	3	dle.rae.es/migar: desmenuzar el pan en pedazos pequenos	high
militar	militate	replace	serve in military	3	dle.rae.es/militar: servir en la guerra / profesar la milicia	high	all 3 replace; primary sense is military service
ministrar	administer	keep	administer	3	dle.rae.es/ministrar: administrar o suministrar	high
mocar	blow nose	keep	blow nose	3	dle.rae.es/mocar: sonar y limpiar los mocos	high
moldar	mold	keep	mold	3	dle.rae.es/moldar: amoldar o sacar molde	high
monoptongar	monophthongize	keep	monophthongize	3	https://es.wiktionary.org/wiki/monoptongar: linguistics turn into a monophthong	high
monumentalizar	monumentalize	keep	monumentalize	3	https://es.wiktionary.org/wiki/monumentalizar: make monumental	high
morigerar	temper	keep	temper	3	https://es.wiktionary.org/wiki/morigerar: moderar contener la intensidad de un sentimiento	high
mosconear	pester	keep	pester	3	https://dle.rae.es/mosconear: importunar con impertinencia y pesadez	high
motear	speckle	keep	speckle	3	https://es.wiktionary.org/wiki/motear: salpicar de motas	high
motejar	nickname	keep	nickname	3	https://dle.rae.es/motejar: llamar a alguien con apodo o mote	high
murar	wall	keep	wall	3	https://es.wiktionary.org/wiki/murar: encircle and fortify with a wall	high
mustiar	wither	keep	wither	3	https://es.wiktionary.org/wiki/mustiar: ajar quitar frescura a flores y plantas	high
negrear	turn black	keep	turn black	3	https://es.wiktionary.org/wiki/negrear: blacken show black	high
neurotizar	neuroticize	keep	neuroticize	3	https://es.wiktionary.org/wiki/neurotizar: volver neurotico a alguien	high	morph glossed make neurotic (synonym)
niñear	act childish	keep	act childish	3	https://dle.rae.es/niñear: hacer niñerias portarse como un niño	high
nuclearizar	nuclearize	keep	nuclearize	3	https://es.wiktionary.org/wiki/nuclearizar: equip with nuclear capacity	high
obcecar	blind	keep	blind	3	https://es.wiktionary.org/wiki/obcecar: cegar ofuscar volver incapaz de pensar racionalmente	high
obstar	hinder	keep	hinder	3	https://es.wiktionary.org/wiki/obstar: poner dificultades o impedimentos	high
ociar	idle	keep	idle	3	https://es.wiktionary.org/wiki/ociar: dejar el trabajo darse al ocio	high
opositar	compete	replace	sit competitive exam	3	https://dle.rae.es/opositar: hacer oposiciones a un cargo o empleo	high	specific sense: sit competitive public exam
optimar	optimize	keep	optimize	3	https://es.wiktionary.org/wiki/optimar : optimizar (to optimize)	high
orear	air	keep	air	3	https://es.wiktionary.org/wiki/orear : expose to air to dry/ventilate	high
orillar	skirt	keep	skirt	3	https://es.wiktionary.org/wiki/orillar : approach the edge	high
orlar	border	keep	border	3	https://es.wiktionary.org/wiki/orlar : adorn with edging/border	high
otear	scan	keep	scan	3	https://es.wiktionary.org/wiki/otear : survey from a height	high
ovalar	make oval	keep	make oval	3	https://es.wiktionary.org/wiki/ovalar : dar forma de ovalo	high
ovar	lay eggs	keep	lay eggs	3	https://es.wiktionary.org/wiki/ovar : poner huevos	high
ovillar	wind up	keep	wind up	3	https://es.wiktionary.org/wiki/ovillar : hacer ovillos (wind into a ball)	high
parabolizar	parabolize	replace	speak in parables	2	https://dicionario.priberam.org/parabolizar : expor por meio de parabolas (speak in parables)	medium	rae+morph agree speak in parables; wikt said symbolize
parcializar	bias	keep	bias	3	https://es.wiktionary.org/wiki/parcializar : apply favorably to one over another by bias	high
pedorrear	fart	keep	fart	3	https://es.wiktionary.org/wiki/pedorrear : expel intestinal gas	high
pegotear	scrounge	keep	scrounge	3	https://es.wiktionary.org/wiki/pegotear : enter homes at mealtime uninvited (freeload)	high
peligrar	endanger	replace	be in danger	3	https://dle.rae.es/peligrar : intr. estar en peligro (be in danger)	high	intransitive; not transitive endanger
pendonear	gallivant	keep	gallivant	3	https://es.wiktionary.org/wiki/pendonear : gad about (intransitive)	high
peraltar	bank	keep	bank	3	https://es.wiktionary.org/wiki/peraltar : give superelevation to a curve/road	high
pergeñar	contrive	keep	contrive	3	https://es.wiktionary.org/wiki/perge%C3%B1ar : devise/sketch out a plan with skill	high
periclitar	decline	keep	decline	3	https://es.wiktionary.org/wiki/periclitar : sense 2 decaer/declinar	medium	also be in danger sense
perlar	bead	keep	bead	3	https://dle.rae.es/perlar : cover with droplets like pearls	high
pespuntear	backstitch	keep	backstitch	3	https://dle.rae.es/pespunte : backstitch sewing	high
petar	please	keep	please	3	https://es.wiktionary.org/wiki/petar : give pleasure/please (coloq Spain)	high
petardear	backfire	keep	backfire	3	https://dle.rae.es/petardear : engine firecracker-like sounds = backfire	high
piafar	paw	keep	paw	3	https://dle.rae.es/piafar : horse strikes ground with front hooves	high
pimplar	booze	keep	booze	3	https://dle.rae.es/pimplar : drink alcohol to excess (coloq)	high
pirrar	love	keep	love	3	https://dle.rae.es/pirrar : pirrarse be crazy about/love	high
plantificar	plant	replace	plonk down	2	https://dle.rae.es/plantificar : put something (esp unsuitable) somewhere	high
policromar	polychrome	keep	polychrome	3	https://es.wiktionary.org/wiki/policromar : apply multiple colors to sculpture	high
positivar	develop	keep	develop	3	https://dle.rae.es/positivar : obtain photographic positive = develop	high
postinear	show off	keep	show off	3	https://dle.rae.es/postinear : darse postin presumir = show off	high
predatar	predate	keep	predate	3	https://www.um.es/neologismos/index.php/v/neologismo/1890/predatar : assign earlier date	high	backdate synonymous
presintonizar	preset	keep	preset	3	https://es.wikipedia.org/wiki/Sintonizador : presintonizar radio stations = preset	high
prevaricar	prevaricate	replace	abuse one's office	3	https://dpej.rae.es/lema/prevaricacion : official issues knowingly unjust ruling; prevaricate is false friend	high	legal betray official duty
prosificar	prosify	replace	turn into prose	2	https://dle.rae.es/prosificar : put a poetic work into prose	high
